date,bitcoin,
05/01/2013,161.6018711,
06/01/2013,215.4691615,
07/01/2013,161.6018711,
08/01/2013,161.6018711,
09/01/2013,161.6018711,
10/01/2013,161.6018711,
11/01/2013,161.6018711,
12/01/2013,161.6018711,
13/01/2013,215.4691615,
14/01/2013,161.6018711,
15/01/2013,161.6018711,
16/01/2013,161.6018711,
17/01/2013,215.4691615,
18/01/2013,161.6018711,
19/01/2013,161.6018711,
20/01/2013,161.6018711,
21/01/2013,161.6018711,
22/01/2013,161.6018711,
23/01/2013,215.4691615,
24/01/2013,215.4691615,
25/01/2013,161.6018711,
26/01/2013,161.6018711,
27/01/2013,161.6018711,
28/01/2013,215.4691615,
29/01/2013,269.3364519,
30/01/2013,215.4691615,
31/01/2013,269.3364519,
01/02/2013,215.4691615,
02/02/2013,269.3364519,
03/02/2013,269.3364519,
04/02/2013,215.4691615,
05/02/2013,215.4691615,
06/02/2013,269.3364519,
07/02/2013,215.4691615,
08/02/2013,215.4691615,
09/02/2013,215.4691615,
10/02/2013,215.4691615,
11/02/2013,269.3364519,
12/02/2013,323.2037422,
13/02/2013,269.3364519,
14/02/2013,323.2037422,
15/02/2013,269.3364519,
16/02/2013,269.3364519,
17/02/2013,323.2037422,
18/02/2013,323.2037422,
19/02/2013,269.3364519,
20/02/2013,323.2037422,
21/02/2013,269.3364519,
22/02/2013,323.2037422,
23/02/2013,269.3364519,
24/02/2013,269.3364519,
25/02/2013,269.3364519,
26/02/2013,269.3364519,
27/02/2013,323.2037422,
28/02/2013,377.0710326,
01/03/2013,377.0710326,
02/03/2013,323.2037422,
03/03/2013,323.2037422,
04/03/2013,323.2037422,
05/03/2013,430.938323,
06/03/2013,592.5401941,
07/03/2013,484.8056134,
08/03/2013,484.8056134,
09/03/2013,430.938323,
10/03/2013,484.8056134,
11/03/2013,484.8056134,
12/03/2013,646.4074845,
13/03/2013,484.8056134,
14/03/2013,430.938323,
15/03/2013,377.0710326,
16/03/2013,377.0710326,
17/03/2013,430.938323,
18/03/2013,484.8056134,
19/03/2013,592.5401941,
20/03/2013,700.2747749,
21/03/2013,915.7439364,
22/03/2013,1077.345807,
23/03/2013,1023.478517,
24/03/2013,754.1420652,
25/03/2013,861.876646,
26/03/2013,861.876646,
27/03/2013,1023.478517,
28/03/2013,1346.682259,
29/03/2013,1508.28413,
30/03/2013,1238.947679,
31/03/2013,1238.947679,
01/04/2013,1562.151421,
02/04/2013,1616.018711,
03/04/2013,2477.895357,
04/04/2013,2424.028067,
05/04/2013,1939.222453,
06/04/2013,1562.151421,
07/04/2013,1616.018711,
08/04/2013,2424.028067,
09/04/2013,3070.435551,
10/04/2013,4794.188843,
11/04/2013,5386.729037,
12/04/2013,4686.454263,
